title,release_date,runtime,budget,revenue,original_language,rating,num_votes
(500) Days of Summer,2009-07-17,95,7500000,60722734,en,7.7,453114
10 Cloverfield Lane,2016-03-10,104,15000000,108286421,en,7.2,273331
10 Things I Hate About You,1999-03-30,97,16000000,53478166,en,7.3,279718
"10,000 BC",2008-02-22,109,105000000,266000000,en,5.1,122170
12 Angry Men,1957-04-10,97,350000,1000000,en,8.9,638756
12 Years a Slave,2013-10-18,134,20000000,187000000,en,8.1,601546
127 Hours,2010-11-05,94,18000000,35692920,en,7.6,333665
13 Going on 30,2004-04-13,98,37000000,96455697,en,6.1,156268
13 Hours: The Secret Soldiers of Benghazi,2016-01-13,144,50000000,69411370,en,7.3,109325
1408,2007-06-22,104,25000000,94679598,en,6.8,247313
16 Blocks,2006-03-01,105,55000000,65664721,en,6.6,123640
17 Again,2009-03-11,102,20000000,136267476,en,6.3,171904
1917,2019-12-10,119,100000000,200483309,en,8.5,177217
2 Fast 2 Furious,2003-06-05,107,76000000,236350661,en,5.9,239535
2 Guns,2013-08-02,109,61000000,131940411,en,6.7,187096
2001: A Space Odyssey,1968-04-09,149,12000000,68700000,en,8.3,566712
2012,2009-10-10,158,200000000,769653595,en,5.8,337580
21,2008-03-27,123,35000000,69823199,en,6.8,220034
21 Grams,2003-09-06,124,20000000,60427839,en,7.7,217062
21 Jump Street,2012-03-14,109,42000000,201585328,en,7.2,490977
22 Jump Street,2014-06-05,112,50000000,188441614,en,7.0,330492
25th Hour,2002-12-16,135,5000000,24000000,en,7.6,165040
27 Dresses,2008-01-10,111,30000000,160259319,en,6.1,148366
28 Days Later,2002-10-31,113,5000000,82719885,en,7.6,356061
28 Weeks Later,2007-04-26,100,15000000,64238440,en,7.0,248089
3 Idiots,2009-12-23,170,9000000,70000000,hi,8.4,316136
30 Days of Night,2007-10-17,113,30000000,75505973,en,6.6,159075
300,2007-03-07,117,65000000,422610419,en,7.6,708717
300: Rise of an Empire,2014-03-05,102,110000000,337580051,en,6.2,270697
3:10 to Yuma,2007-09-06,122,55000000,70016220,en,7.7,276947
47 Ronin,2013-12-06,119,175000000,150962475,en,6.2,140442
50 First Dates,2004-02-13,99,75000000,196482882,en,6.8,312592
50/50,2011-09-30,100,8000000,39187783,en,7.6,306521
8 Mile,2002-11-08,110,41000000,242875078,en,7.1,237295
8MM,1999-02-26,123,40000000,96618699,en,6.5,118864
9,2009-08-19,79,30000000,48428063,en,7.1,128557
A Beautiful Mind,2001-12-11,135,60000000,313542341,en,8.2,800802
A Bronx Tale,1993-09-14,121,22000000,17287898,en,7.8,121007
A Bug's Life,1998-11-25,95,120000000,363258859,en,7.2,254671
A Clockwork Orange,1971-12-18,136,2200000,26589000,en,8.3,717180
A Few Good Men,1992-12-11,138,40000000,243240178,en,7.7,221829
A Fish Called Wanda,1988-07-15,109,7500000,62493712,en,7.5,125814
A Fistful of Dollars,1964-09-12,99,200000,14500000,it,8.0,185136
A Good Day to Die Hard,2013-02-06,98,92000000,304654182,en,5.3,192517
A History of Violence,2005-09-23,96,32000000,60740827,en,7.4,215562
A Knight's Tale,2001-05-11,132,65000000,117487473,en,6.9,162258
A Million Ways to Die in the West,2014-05-22,116,40000000,86410000,en,6.1,164817
A Nightmare on Elm Street,1984-11-14,91,1800000,25504513,en,7.5,193917
A Quiet Place,2018-04-03,91,17000000,340677200,en,7.5,352593
A Scanner Darkly,2006-05-25,100,8700000,7659918,en,7.1,103090
A Separation,2011-03-15,123,500000,24426169,fa,8.3,206033
A Serious Man,2009-09-30,105,7000000,31430334,en,7.0,126033
A Simple Favor,2018-08-29,117,20000000,53542417,en,6.8,106458
A Single Man,2009-10-19,97,7000000,24964890,en,7.6,101880
A Star Is Born,2018-10-03,136,36000000,433888866,en,7.7,296468
A Time to Kill,1996-07-24,149,40000000,152266007,en,7.5,123545
A Walk Among the Tombstones,2014-09-18,113,28000000,53181600,en,6.5,108032
A Walk to Remember,2002-01-25,101,11800000,47494916,en,7.4,192444
A.I. Artificial Intelligence,2001-06-29,146,100000000,235926552,en,7.2,280856
AVP: Alien vs. Predator,2004-08-12,101,70000000,171183863,en,5.6,178180
About Schmidt,2002-05-22,125,30000000,105834556,en,7.1,119309
About Time,2013-08-16,123,12000000,87100449,en,7.8,278670
About a Boy,2002-04-26,101,27000000,129000000,en,7.0,165896
Abraham Lincoln: Vampire Hunter,2012-06-20,94,69000000,37519974,en,5.9,145513
Accepted,2006-08-18,93,23000000,38505009,en,6.4,118749
Ace Ventura: Pet Detective,1994-02-04,86,15000000,107217396,en,6.9,263858
Ace Ventura: When Nature Calls,1995-11-10,90,30000000,212385533,en,6.4,193939
Across the Universe,2007-09-14,133,45000000,29625761,en,7.3,103352
Ad Astra,2019-09-17,123,87500000,127175922,en,6.6,142371
Adaptation.,2002-12-06,115,19000000,32801173,en,7.7,169324
After Earth,2013-05-30,100,130000000,243843127,en,4.8,185931
Air Force One,1997-07-25,124,85000000,315156409,en,6.5,172166
Airplane!,1980-07-02,88,3500000,83453539,en,7.7,198074
Aladdin,1992-11-25,90,28000000,504050219,en,8.0,346516
Aladdin,2019-05-22,128,183000000,1047612394,en,7.0,185402
Alexander,2004-11-21,175,155000000,167298192,en,5.6,157676
Alice in Wonderland,1951-07-28,75,3000000,572000000,en,7.4,121503
Alice in Wonderland,2010-03-03,108,200000000,1025467110,en,6.4,368490
Alien,1979-05-25,117,11000000,104931801,en,8.4,743849
Alien Resurrection,1997-11-12,109,70000000,162000000,en,6.2,218360
Alien: Covenant,2017-05-09,122,97000000,232380243,en,6.4,238862
Aliens,1986-07-18,137,18500000,183316455,en,8.3,621874
Aliens vs Predator: Requiem,2007-12-25,94,40000000,41797066,en,4.7,112092
Alien³,1992-05-22,114,50000000,159773545,en,6.5,264193
Alita: Battle Angel,2019-01-31,122,170000000,404852543,en,7.3,189188
